Regione;Anno;Stalli per mille autovetture circolanti
Piemonte;2001;12.7
Piemonte;2002;13.2
Piemonte;2003;13.5
Piemonte;2004;14.2
Piemonte;2005;16.2
Piemonte;2006;21.8
Piemonte;2007;22.5
Piemonte;2008;22.3
Piemonte;2009;22.5
Piemonte;2010;23.3
Piemonte;2011;23.7
Piemonte;2012;23.9
Lombardia;2001;15.7
Lombardia;2002;18.2
Lombardia;2003;18.2
Lombardia;2004;19.1
Lombardia;2005;20.0
Lombardia;2006;22.7
Lombardia;2007;23.2
Lombardia;2008;23.2
Lombardia;2009;23.8
Lombardia;2010;23.6
Lombardia;2011;23.2
Lombardia;2012;23.4
Veneto;2001;33.6
Veneto;2002;35.2
Veneto;2003;37.2
Veneto;2004;38.7
Veneto;2005;39.8
Veneto;2006;39.6
Veneto;2007;40.0
Veneto;2008;42.1
Veneto;2009;44.8
Veneto;2010;46.0
Veneto;2011;50.8
Veneto;2012;52.3
Liguria;2001;17.9
Liguria;2002;18.0
Liguria;2003;18.2
Liguria;2004;19.6
Liguria;2005;21.1
Liguria;2006;21.3
Liguria;2007;21.4
Liguria;2008;21.7
Liguria;2009;21.7
Liguria;2010;21.0
Liguria;2011;21.7
Liguria;2012;22.4
Emilia-Romagna;2001;18.5
Emilia-Romagna;2002;23.1
Emilia-Romagna;2003;22.7
Emilia-Romagna;2004;24.1
Emilia-Romagna;2005;24.4
Emilia-Romagna;2006;23.9
Emilia-Romagna;2007;23.8
Emilia-Romagna;2008;24.0
Emilia-Romagna;2009;28.3
Emilia-Romagna;2010;29.2
Emilia-Romagna;2011;30.2
Emilia-Romagna;2012;30.4
Toscana;2001;13.3
Toscana;2002;14.2
Toscana;2003;15.8
Toscana;2004;16.5
Toscana;2005;19.2
Toscana;2006;21.0
Toscana;2007;21.8
Toscana;2008;21.9
Toscana;2009;23.0
Toscana;2010;22.0
Toscana;2011;21.6
Toscana;2012;22.1
Lazio;2001;5.7
Lazio;2002;6.3
Lazio;2003;6.3
Lazio;2004;6.7
Lazio;2005;6.5
Lazio;2006;6.9
Lazio;2007;7.1
Lazio;2008;7.0
Lazio;2009;6.8
Lazio;2010;6.7
Lazio;2011;7.4
Lazio;2012;7.7
Campania;2001;3.9
Campania;2002;4.4
Campania;2003;4.4
Campania;2004;8.1
Campania;2005;7.9
Campania;2006;7.9
Campania;2007;8.1
Campania;2008;6.4
Campania;2009;8.0
Campania;2010;8.0
Campania;2011;16.5
Campania;2012;16.8
Puglia;2001;1.5
Puglia;2002;2.3
Puglia;2003;2.3
Puglia;2004;5.7
Puglia;2005;5.9
Puglia;2006;6.0
Puglia;2007;5.9
Puglia;2008;6.9
Puglia;2009;7.3
Puglia;2010;6.9
Puglia;2011;8.2
Puglia;2012;9.6
Calabria;2001;18.1
Calabria;2002;18.2
Calabria;2003;17.9
Calabria;2004;20.1
Calabria;2005;19.6
Calabria;2006;19.0
Calabria;2007;18.9
Calabria;2008;18.7
Calabria;2009;18.5
Calabria;2010;16.2
Calabria;2011;16.4
Calabria;2012;16.1
